code_dept,annee,trimestre,taux_chomage
52,2007,3,7.5
53,2007,3,4.8
54,2007,3,7.3
55,2007,3,8.2
56,2007,3,6.9
57,2007,3,7.8
58,2007,3,7.6
59,2007,3,10.7
60,2007,3,7.3
61,2007,3,7.0
62,2007,3,10.5
63,2007,3,7.0
64,2007,3,6.8
65,2007,3,8.2
66,2007,3,10.3
67,2007,3,6.5
68,2007,3,7.7
69,2007,3,7.0
70,2007,3,6.8
71,2007,3,6.8
72,2007,3,6.9
73,2007,3,5.9
74,2007,3,5.2
75,2007,3,7.8
76,2007,3,8.4
77,2007,3,5.9
78,2007,3,5.7
79,2007,3,5.6
80,2007,3,9.2
81,2007,3,8.5
82,2007,3,8.4
84,2007,3,9.5
85,2007,3,5.6
86,2007,3,6.7
87,2007,3,6.7
88,2007,3,8.5
89,2007,3,7.1
90,2007,3,8.8
91,2007,3,5.5
92,2007,3,6.5
93,2007,3,10.4
94,2007,3,7.2
95,2007,3,7.9
83,2007,3,8.9
ZA,2007,3,
ZB,2007,3,
ZC,2007,3,
ZD,2007,3,
01,2007,4,4.7
02,2007,4,9.7
03,2007,4,7.2
04,2007,4,8.3
05,2007,4,6.9
06,2007,4,6.8
07,2007,4,7.9
08,2007,4,9.7
09,2007,4,8.4
10,2007,4,7.8
11,2007,4,9.7
12,2007,4,4.8
13,2007,4,9.9
14,2007,4,7.1
15,2007,4,5.2
16,2007,4,7.6
17,2007,4,7.8
18,2007,4,6.9
19,2007,4,5.0
2A,2007,4,7.1
2B,2007,4,8.2
21,2007,4,6.1
22,2007,4,6.0
23,2007,4,6.6
24,2007,4,7.1
25,2007,4,6.8
26,2007,4,7.9
27,2007,4,7.0
28,2007,4,6.1
29,2007,4,6.6
30,2007,4,10.3
31,2007,4,7.6
32,2007,4,5.4
33,2007,4,7.4
34,2007,4,10.5
35,2007,4,5.5
36,2007,4,6.2
37,2007,4,6.2
38,2007,4,6.1
39,2007,4,5.6
40,2007,4,6.4
41,2007,4,6.4
42,2007,4,7.0
43,2007,4,6.0
44,2007,4,6.4
45,2007,4,6.1
46,2007,4,6.4
47,2007,4,7.2
48,2007,4,4.1
49,2007,4,6.3
50,2007,4,6.3
51,2007,4,6.9
52,2007,4,7.1
53,2007,4,4.4
54,2007,4,7.0
55,2007,4,7.7
56,2007,4,6.5
57,2007,4,7.5
58,2007,4,7.2
59,2007,4,10.1
60,2007,4,6.9
61,2007,4,6.6
62,2007,4,10.2
63,2007,4,6.6
64,2007,4,6.4
65,2007,4,8.0
66,2007,4,10.0
67,2007,4,6.1
68,2007,4,7.4
69,2007,4,6.6
70,2007,4,6.5
71,2007,4,6.5
72,2007,4,6.4
73,2007,4,5.7
74,2007,4,4.9
75,2007,4,7.1
76,2007,4,7.9
77,2007,4,5.5
78,2007,4,5.3
79,2007,4,5.2
80,2007,4,8.9
81,2007,4,8.1
82,2007,4,7.8
84,2007,4,9.0
85,2007,4,5.4
86,2007,4,6.2
87,2007,4,6.3
88,2007,4,8.0
89,2007,4,6.5
90,2007,4,8.3
91,2007,4,5.1
92,2007,4,5.9
93,2007,4,9.7
94,2007,4,6.6
95,2007,4,7.4
83,2007,4,8.6
ZA,2007,4,
ZB,2007,4,
ZC,2007,4,
ZD,2007,4,
01,2008,1,4.4
02,2008,1,9.3
03,2008,1,6.8
04,2008,1,7.9
05,2008,1,6.4
06,2008,1,6.5
07,2008,1,7.5
08,2008,1,9.4
09,2008,1,7.9
10,2008,1,7.5
11,2008,1,9.2
12,2008,1,4.6
13,2008,1,9.4
14,2008,1,6.7
15,2008,1,4.8
16,2008,1,7.3
17,2008,1,7.4
18,2008,1,6.5
19,2008,1,4.8
2A,2008,1,6.8
2B,2008,1,7.9
21,2008,1,5.6
22,2008,1,5.5
23,2008,1,6.3
24,2008,1,6.7
25,2008,1,6.6
26,2008,1,7.5
27,2008,1,6.7
28,2008,1,5.9
29,2008,1,6.3
30,2008,1,9.8
31,2008,1,7.2
32,2008,1,5.1
33,2008,1,7.0
34,2008,1,10.0
35,2008,1,5.1
36,2008,1,5.6
37,2008,1,5.9
38,2008,1,5.8
39,2008,1,5.2
40,2008,1,6.1
41,2008,1,6.0
42,2008,1,6.7
43,2008,1,5.7
