id,code_dept,election_id,nb_inscrits,nb_abstentions,nb_votants,nb_blancs_nuls
152,44,2,935620,150397,785223,40846
153,45,2,442970,79862,363108,23148
154,46,2,135211,18091,117120,7277
155,47,2,240698,38053,202645,14216
156,48,2,59885,8378,51507,3480
157,49,2,553191,88673,464518,27263
158,50,2,375776,62879,312897,18300
159,51,2,382133,80808,301325,19009
160,52,2,138781,27431,111350,8300
161,53,2,221494,35431,186063,11494
162,54,2,495452,100447,395005,24448
163,55,2,140113,25824,114289,8531
164,56,2,555655,85419,470236,27095
165,57,2,745761,163291,582470,37821
166,58,2,164915,31090,133825,8980
167,59,2,1792610,396412,1396198,87043
168,60,2,549097,106084,443013,29580
169,61,2,212505,36060,176445,11779
170,62,2,1083666,220612,863054,61936
171,63,2,449281,72953,376328,24736
172,64,2,488982,79868,409114,25776
173,65,2,177439,29155,148284,9313
174,66,2,329293,58614,270679,18386
175,67,2,748128,148400,599728,33826
176,68,2,519575,103638,415937,26678
177,69,2,1100976,207138,893838,41569
178,70,2,180598,29758,150840,12525
179,71,2,409846,76591,333255,23261
180,72,2,406896,74708,332188,22759
181,73,2,298887,52579,246308,15389
182,74,2,504553,94000,410553,23003
183,75,2,1253919,212870,1041049,33088
184,76,2,876129,165499,710630,43357
185,77,2,843992,164253,679739,39016
186,78,2,926633,164228,762405,33643
187,79,2,270641,42772,227869,13484
188,80,2,409366,73189,336177,22754
189,81,2,283870,41760,242110,16866
190,82,2,175337,26661,148676,9783
191,83,2,757310,141483,615827,33977
192,84,2,388058,68933,319125,20086
193,85,2,488788,73119,415669,24499
194,86,2,303613,52472,251141,15410
195,87,2,264859,40843,224016,15454
196,88,2,285407,51553,233854,19079
197,89,2,245241,46892,198349,13617
198,90,2,94858,17995,76863,5874
199,91,2,767568,140116,627452,32930
200,92,2,939121,162051,777070,31126
201,93,2,740925,174541,566384,25562
202,94,2,767965,150029,617936,27689
203,95,2,704950,140400,564550,27489
204,ZA,2,298169,112867,185302,13294
205,ZB,2,302712,121764,180948,13592
206,ZC,2,77089,32988,44101,2391
207,ZD,2,578355,156961,421394,21165
208,ZM,2,77544,37262,40282,1660
209,ZN,2,165338,64168,101170,3159
210,ZP,2,186938,76756,110182,10624
211,ZS,2,4922,1531,3391,206
212,ZW,2,8942,2104,6838,69
213,ZX,2,22686,12779,9907,415
214,ZZ,2,1078579,623669,454910,9748
215,01,3,415909,81530,334379,8581
216,02,3,375752,80183,295569,7370
217,03,3,253946,54357,199589,6796
218,04,3,126578,24323,102255,2542
219,05,3,109907,20821,89086,2159
220,06,3,761761,161905,599856,11936
221,07,3,249260,46619,202641,5568
222,08,3,194379,44076,150303,3500
223,09,3,117409,21392,96017,2629
224,10,3,203847,38951,164896,3828
225,11,3,272724,52568,220156,5803
226,12,3,218442,36544,181898,5436
227,13,3,1372396,300148,1072248,22549
228,14,3,501153,90313,410840,9218
229,15,3,117425,22767,94658,3092
230,16,3,259954,54980,204974,5961
231,17,3,491374,99354,392020,9752
232,18,3,229014,50941,178073,5390
233,19,3,185277,34299,150978,5364
234,2A,3,108781,33758,75023,2156
235,2B,3,124862,40894,83968,2460
236,21,3,360654,68674,291980,6855
237,22,3,455960,71620,384340,9371
238,23,3,93113,19917,73196,2945
239,24,3,314020,57520,256500,7790
240,25,3,368401,76199,292202,8023
241,26,3,369489,73213,296276,7536
242,27,3,427533,82218,345315,8540
243,28,3,301466,60474,240992,6213
