id,nombre,taux_pour_mille,annee,indicateur_id,unite_de_compte_id,departement_code
1,6,0.0194231,2016,7,3,10
2,2,0.0054344,2016,7,3,11
3,1,0.0035881,2016,7,3,12
4,44,0.0217852,2016,7,3,13
5,4,0.0057664,2016,7,3,14
6,2,0.0137015,2016,7,3,15
7,5,0.0141528,2016,7,3,16
8,8,0.0124574,2016,7,3,17
9,4,0.0130246,2016,7,3,18
10,1,0.0041402,2016,7,3,19
11,6,0.0112525,2016,7,3,21
12,8,0.0133566,2016,7,3,22
13,3,0.0251042,2016,7,3,23
14,2,0.0048217,2016,7,3,24
15,3,0.0055705,2016,7,3,25
16,6,0.0118109,2016,7,3,26
17,5,0.0082943,2016,7,3,27
18,6,0.0138271,2016,7,3,28
19,5,0.0055051,2016,7,3,29
20,7,0.0453653,2016,7,3,2A
21,7,0.0397384,2016,7,3,2B
22,10,0.013477,2016,7,3,30
23,16,0.0118678,2016,7,3,31
24,2,0.0104897,2016,7,3,32
25,12,0.0076595,2016,7,3,33
26,18,0.0158943,2016,7,3,34
27,5,0.0047539,2016,7,3,35
28,0,0.0,2016,7,3,36
29,5,0.0082478,2016,7,3,37
30,8,0.0063851,2016,7,3,38
31,2,0.007677,2016,7,3,39
32,5,0.0123454,2016,7,3,40
33,6,0.0180305,2016,7,3,41
34,15,0.0196851,2016,7,3,42
35,0,0.0,2016,7,3,43
36,12,0.0086903,2016,7,3,44
37,7,0.0103807,2016,7,3,45
38,1,0.0057688,2016,7,3,46
39,4,0.012018,2016,7,3,47
40,0,0.0,2016,7,3,48
41,5,0.0061657,2016,7,3,49
42,4,0.0080263,2016,7,3,50
43,6,0.01051,2016,7,3,51
44,1,0.0056153,2016,7,3,52
45,2,0.0065001,2016,7,3,53
46,14,0.0190782,2016,7,3,54
47,1,0.0052895,2016,7,3,55
48,3,0.0040131,2016,7,3,56
49,13,0.012437,2016,7,3,57
50,1,0.004781,2016,7,3,58
51,30,0.011522,2016,7,3,59
52,10,0.0121427,2016,7,3,60
53,4,0.0140199,2016,7,3,61
54,19,0.0129188,2016,7,3,62
55,7,0.0107576,2016,7,3,63
56,11,0.0163208,2016,7,3,64
57,1,0.0043893,2016,7,3,65
58,9,0.0189726,2016,7,3,66
59,14,0.0124843,2016,7,3,67
60,7,0.0091774,2016,7,3,68
61,23,0.0125279,2016,7,3,69
62,3,0.0126453,2016,7,3,70
63,4,0.0072069,2016,7,3,71
64,7,0.0123335,2016,7,3,72
65,2,0.0046546,2016,7,3,73
66,10,0.0124779,2016,7,3,74
67,31,0.0141531,2016,7,3,75
68,17,0.0135377,2016,7,3,76
69,7,0.0050084,2016,7,3,77
70,8,0.0055873,2016,7,3,78
71,6,0.016011,2016,7,3,79
72,3,0.0052379,2016,7,3,80
73,2,0.0051753,2016,7,3,81
74,3,0.0116778,2016,7,3,82
75,14,0.0132598,2016,7,3,83
76,5,0.0089443,2016,7,3,84
77,3,0.0044736,2016,7,3,85
78,7,0.0160525,2016,7,3,86
79,2,0.0053336,2016,7,3,87
80,3,0.008116,2016,7,3,88
81,2,0.005873,2016,7,3,89
82,2,0.0138803,2016,7,3,90
83,20,0.015536,2016,7,3,91
84,5,0.0031186,2016,7,3,92
85,29,0.0180499,2016,7,3,93
86,14,0.0101585,2016,7,3,94
87,10,0.0081838,2016,7,3,95
88,5,0.016128,2017,7,3,10
89,7,0.0189056,2017,7,3,11
90,1,0.0035816,2017,7,3,12
91,57,0.0281598,2017,7,3,13
92,6,0.0086455,2017,7,3,14
93,0,0.0,2017,7,3,15
94,4,0.0113528,2017,7,3,16
95,6,0.0093124,2017,7,3,17
96,2,0.0065734,2017,7,3,18
97,0,0.0,2017,7,3,19
98,3,0.0056199,2017,7,3,21
99,6,0.0100198,2017,7,3,22
100,2,0.016858,2017,7,3,23
101,4,0.009671,2017,7,3,24
102,12,0.0222607,2017,7,3,25
103,7,0.0136838,2017,7,3,26
104,5,0.0083078,2017,7,3,27
105,7,0.0161576,2017,7,3,28
106,8,0.0088006,2017,7,3,29
107,3,0.019078,2017,7,3,2A
108,14,0.0787893,2017,7,3,2B
109,11,0.0147814,2017,7,3,30
110,12,0.0088062,2017,7,3,31
111,1,0.0052331,2017,7,3,32
112,18,0.0113681,2017,7,3,33
113,15,0.0131017,2017,7,3,34
114,5,0.0047161,2017,7,3,35
115,1,0.0044998,2017,7,3,36
116,7,0.0115414,2017,7,3,37
117,16,0.0127113,2017,7,3,38
118,0,0.0,2017,7,3,39
119,2,0.0049087,2017,7,3,40
120,3,0.0090385,2017,7,3,41
121,4,0.0052429,2017,7,3,42
122,2,0.0087996,2017,7,3,43
