id,annee,croissance_total_entreprises,ratio_micro,solde_commercial,croissance_export
1,2007,0.10363917609704476,0.0,-0.4354767797319994,-0.0023951154089973947
2,2008,0.08601357332546455,0.0,-0.7817085427134991,0.01179860930996468
3,2009,0.3485939410406198,0.38002417648836506,-0.43722621704279874,-0.11363672900836808
4,2010,0.2978744837312379,0.5587550450170754,-0.9345841213380979,0.0751729532261598
5,2011,-0.08859826140950011,0.5173515009580584,-1.5279265578833012,0.061536760045262096
6,2012,-0.026825633383010472,0.526186830015314,-0.9475709038077973,0.027652746430611774
7,2013,-0.014876394661999526,0.4998445480790584,-0.6366395768249014,0.007761152625130441
8,2014,0.022163002442815882,0.47970800382375944,-0.7156411681485011,0.0049211488588005725
9,2015,-0.010819501173198964,0.49070942235888426,-0.1176977217245998,0.030956238903789624
10,2016,0.04177465407423675,0.4774835554056333,-0.3463542518456997,-0.006161392993126458
11,2017,0.06590487434643277,0.47577040231021794,-0.7721842612475953,0.02583063050483614
12,2018,0.1352901617943747,0.515383811282623,-0.9663054060031939,0.018759581365305644
13,2019,0.14564967420467623,0.5606314060646613,-0.6498624500299996,-0.0008636849745570219
14,2020,0.041546275738313154,0.597634691195795,-1.7244711156048993,-0.1317239029908709
15,2021,0.208614396262228,0.6123607721858464,-1.2123908836243977,0.09562660876721085
16,2022,0.012177148517722225,0.6071181342945122,-2.7308998465333048,0.17028912478174396
