id,departement_code,sexe_id,tranche_age_id,annee,population
174,ZC,2,4,2011,6170
175,ZC,2,5,2011,1611
176,ZD,2,1,2011,140564
177,ZD,2,2,2011,106143
178,ZD,2,3,2011,108302
179,ZD,2,4,2011,35724
180,ZD,2,5,2011,10406
181,ZA,3,1,2011,57146
182,ZA,3,2,2011,50399
183,ZA,3,3,2011,64232
184,ZA,3,4,2011,28997
185,ZA,3,5,2011,16079
186,ZB,3,1,2011,50533
187,ZB,3,2,2011,48044
188,ZB,3,3,2011,65456
189,ZB,3,4,2011,29590
190,ZB,3,5,2011,17992
191,ZC,3,1,2011,50849
192,ZC,3,2,2011,36287
193,ZC,3,3,2011,24259
194,ZC,3,4,2011,6170
195,ZC,3,5,2011,2252
196,ZD,3,1,2011,134375
197,ZD,3,2,2011,119189
198,ZD,3,3,2011,115333
199,ZD,3,4,2011,40123
200,ZD,3,5,2011,18422
201,ZA,2,1,2012,58237
202,ZA,2,2,2012,39115
203,ZA,2,3,2012,53912
204,ZA,2,4,2012,25070
205,ZA,2,5,2012,10704
206,ZB,2,1,2012,50482
207,ZB,2,2,2012,36892
208,ZB,2,3,2012,53894
209,ZB,2,4,2012,25419
210,ZB,2,5,2012,12137
211,ZC,2,1,2012,52514
212,ZC,2,2,2012,34009
213,ZC,2,3,2012,24896
214,ZC,2,4,2012,6518
215,ZC,2,5,2012,1601
216,ZD,2,1,2012,139210
217,ZD,2,2,2012,104954
218,ZD,2,3,2012,110727
219,ZD,2,4,2012,37357
220,ZD,2,5,2012,11256
221,ZA,3,1,2012,56208
222,ZA,3,2,2012,48623
223,ZA,3,3,2012,65235
224,ZA,3,4,2012,29569
225,ZA,3,5,2012,16641
226,ZB,3,1,2012,49364
227,ZB,3,2,2012,45723
228,ZB,3,3,2012,65519
229,ZB,3,4,2012,30451
230,ZB,3,5,2012,18483
231,ZC,3,1,2012,50516
232,ZC,3,2,2012,36338
233,ZC,3,3,2012,24498
234,ZC,3,4,2012,6483
235,ZC,3,5,2012,2275
236,ZD,3,1,2012,132926
237,ZD,3,2,2012,117936
238,ZD,3,3,2012,118198
239,ZD,3,4,2012,41800
240,ZD,3,5,2012,19580
241,ZA,2,1,2013,56808
242,ZA,2,2,2013,37908
243,ZA,2,3,2013,54439
244,ZA,2,4,2013,26037
245,ZA,2,5,2013,10885
246,ZB,2,1,2013,49379
247,ZB,2,2,2013,35752
248,ZB,2,3,2013,54090
249,ZB,2,4,2013,26173
250,ZB,2,5,2013,12561
251,ZC,2,1,2013,53474
252,ZC,2,2,2013,33985
253,ZC,2,3,2013,25563
254,ZC,2,4,2013,6990
255,ZC,2,5,2013,1641
256,ZD,2,1,2013,137391
257,ZD,2,2,2013,103259
258,ZD,2,3,2013,112191
259,ZD,2,4,2013,38999
260,ZD,2,5,2013,11891
261,ZA,3,1,2013,55312
262,ZA,3,2,2013,47137
263,ZA,3,3,2013,65772
264,ZA,3,4,2013,30835
265,ZA,3,5,2013,16986
266,ZB,3,1,2013,47937
267,ZB,3,2,2013,43578
268,ZB,3,3,2013,65897
269,ZB,3,4,2013,31204
270,ZB,3,5,2013,18980
271,ZC,3,1,2013,51347
272,ZC,3,2,2013,36334
273,ZC,3,3,2013,25554
274,ZC,3,4,2013,6804
275,ZC,3,5,2013,2426
276,ZD,3,1,2013,131337
277,ZD,3,2,2013,116637
278,ZD,3,3,2013,119634
279,ZD,3,4,2013,43398
280,ZD,3,5,2013,20366
281,ZA,2,1,2014,56294
282,ZA,2,2,2014,36478
283,ZA,2,3,2014,54120
284,ZA,2,4,2014,26529
285,ZA,2,5,2014,11251
286,ZB,2,1,2014,48444
287,ZB,2,2,2014,34844
288,ZB,2,3,2014,54208
289,ZB,2,4,2014,27045
290,ZB,2,5,2014,12961
291,ZC,2,1,2014,55089
292,ZC,2,2,2014,34315
293,ZC,2,3,2014,26723
294,ZC,2,4,2014,7395
295,ZC,2,5,2014,1667
296,ZD,2,1,2014,138101
297,ZD,2,2,2014,102223
298,ZD,2,3,2014,113297
299,ZD,2,4,2014,41099
300,ZD,2,5,2014,12587
301,ZA,3,1,2014,54486
302,ZA,3,2,2014,45876
303,ZA,3,3,2014,65976
304,ZA,3,4,2014,32031
305,ZA,3,5,2014,17145
306,ZB,3,1,2014,46508
307,ZB,3,2,2014,41997
308,ZB,3,3,2014,65998
309,ZB,3,4,2014,32286
310,ZB,3,5,2014,19620
311,ZC,3,1,2014,53526
312,ZC,3,2,2014,37294
313,ZC,3,3,2014,26712
314,ZC,3,4,2014,7188
315,ZC,3,5,2014,2429
316,ZD,3,1,2014,131704
317,ZD,3,2,2014,115562
318,ZD,3,3,2014,121302
319,ZD,3,4,2014,45476
320,ZD,3,5,2014,21416
321,ZA,2,1,2015,54796
322,ZA,2,2,2015,35299
323,ZA,2,3,2015,54321
324,ZA,2,4,2015,27175
325,ZA,2,5,2015,11619
326,ZB,2,1,2015,47397
327,ZB,2,2,2015,34085
328,ZB,2,3,2015,53463
329,ZB,2,4,2015,27908
330,ZB,2,5,2015,13224
331,ZC,2,1,2015,56262
332,ZC,2,2,2015,35052
333,ZC,2,3,2015,27781
334,ZC,2,4,2015,8068
335,ZC,2,5,2015,1719
336,ZD,2,1,2015,138820
337,ZD,2,2,2015,101181
338,ZD,2,3,2015,114045
339,ZD,2,4,2015,43653
340,ZD,2,5,2015,13063
341,ZA,3,1,2015,53261
342,ZA,3,2,2015,44574
343,ZA,3,3,2015,66390
344,ZA,3,4,2015,32797
345,ZA,3,5,2015,17758
346,ZB,3,1,2015,45236
347,ZB,3,2,2015,40962
348,ZB,3,3,2015,65352
349,ZB,3,4,2015,33272
350,ZB,3,5,2015,19978
351,ZC,3,1,2015,54549
352,ZC,3,2,2015,38469
353,ZC,3,3,2015,27574
354,ZC,3,4,2015,7853
355,ZC,3,5,2015,2538
356,ZD,3,1,2015,132114
357,ZD,3,2,2015,114770
358,ZD,3,3,2015,122740
359,ZD,3,4,2015,48339
360,ZD,3,5,2015,22002
361,ZA,2,1,2016,53336
362,ZA,2,2,2016,34319
363,ZA,2,3,2016,53520
364,ZA,2,4,2016,28307
365,ZA,2,5,2016,11842
366,ZB,2,1,2016,45457
367,ZB,2,2,2016,32963
368,ZB,2,3,2016,52732
369,ZB,2,4,2016,28726
370,ZB,2,5,2016,13607
371,ZC,2,1,2016,57410
372,ZC,2,2,2016,36581
373,ZC,2,3,2016,29150
374,ZC,2,4,2016,8661
375,ZC,2,5,2016,1857
376,ZD,2,1,2016,137123
377,ZD,2,2,2016,99201
378,ZD,2,3,2016,114529
379,ZD,2,4,2016,45724
380,ZD,2,5,2016,13981
381,ZA,3,1,2016,51759
382,ZA,3,2,2016,43127
383,ZA,3,3,2016,65925
384,ZA,3,4,2016,33927
385,ZA,3,5,2016,18048
386,ZB,3,1,2016,43958
387,ZB,3,2,2016,39755
388,ZB,3,3,2016,64820
389,ZB,3,4,2016,33890
390,ZB,3,5,2016,20572
391,ZC,3,1,2016,56015
392,ZC,3,2,2016,39617
393,ZC,3,3,2016,28912
394,ZC,3,4,2016,8431
395,ZC,3,5,2016,2718
396,ZD,3,1,2016,132016
397,ZD,3,2,2016,112644
398,ZD,3,3,2016,124023
399,ZD,3,4,2016,50715
400,ZD,3,5,2016,22968
401,ZA,2,1,2017,51225
402,ZA,2,2,2017,33663
403,ZA,2,3,2017,52118
404,ZA,2,4,2017,29620
405,ZA,2,5,2017,12379
406,ZB,2,1,2017,43803
407,ZB,2,2,2017,31878
408,ZB,2,3,2017,51280
409,ZB,2,4,2017,30113
410,ZB,2,5,2017,14160
411,ZC,2,1,2017,57104
412,ZC,2,2,2017,35225
413,ZC,2,3,2017,28438
414,ZC,2,4,2017,9237
415,ZC,2,5,2017,2012
416,ZD,2,1,2017,134596
417,ZD,2,2,2017,97174
418,ZD,2,3,2017,114204
419,ZD,2,4,2017,48283
420,ZD,2,5,2017,14700
421,ZA,3,1,2017,50017
422,ZA,3,2,2017,42076
423,ZA,3,3,2017,65275
424,ZA,3,4,2017,35105
425,ZA,3,5,2017,18775
426,ZB,3,1,2017,42863
427,ZB,3,2,2017,38497
428,ZB,3,3,2017,63799
429,ZB,3,4,2017,35105
430,ZB,3,5,2017,21096
431,ZC,3,1,2017,56162
432,ZC,3,2,2017,39513
433,ZC,3,3,2017,29082
434,ZC,3,4,2017,9076
435,ZC,3,5,2017,2851
436,ZD,3,1,2017,129976
437,ZD,3,2,2017,112372
438,ZD,3,3,2017,124779
439,ZD,3,4,2017,53528
440,ZD,3,5,2017,24047
441,ZA,2,1,2018,49808
442,ZA,2,2,2018,33164
443,ZA,2,3,2018,51060
444,ZA,2,4,2018,30684
445,ZA,2,5,2018,12794
446,ZB,2,1,2018,42674
447,ZB,2,2,2018,31390
448,ZB,2,3,2018,49846
449,ZB,2,4,2018,30834
450,ZB,2,5,2018,14296
451,ZC,2,1,2018,58435
452,ZC,2,2,2018,35862
453,ZC,2,3,2018,28635
454,ZC,2,4,2018,9573
455,ZC,2,5,2018,2210
456,ZD,2,1,2018,133669
457,ZD,2,2,2018,96449
458,ZD,2,3,2018,113930
459,ZD,2,4,2018,49829
460,ZD,2,5,2018,15495
461,ZA,3,1,2018,48547
462,ZA,3,2,2018,41506
463,ZA,3,3,2018,64607
464,ZA,3,4,2018,36003
465,ZA,3,5,2018,19456
466,ZB,3,1,2018,41452
467,ZB,3,2,2018,38205
468,ZB,3,3,2018,62416
469,ZB,3,4,2018,36147
470,ZB,3,5,2018,21523
471,ZC,3,1,2018,57932
472,ZC,3,2,2018,41193
473,ZC,3,3,2018,29762
474,ZC,3,4,2018,9496
475,ZC,3,5,2018,3030
476,ZD,3,1,2018,129461
477,ZD,3,2,2018,111848
478,ZD,3,3,2018,124831
479,ZD,3,4,2018,55619
