id,election_id,candidat_id,code_dept,nb_voix
248,2,3,33,19940
249,2,3,34,15223
250,2,3,35,18367
251,2,3,36,2015
252,2,3,37,7488
253,2,3,38,20189
254,2,3,39,3691
255,2,3,40,4466
256,2,3,41,3418
257,2,3,42,8090
258,2,3,43,3041
259,2,3,44,24410
260,2,3,45,6744
261,2,3,46,3046
262,2,3,47,3775
263,2,3,48,1307
264,2,3,49,10737
265,2,3,50,5601
266,2,3,51,4482
267,2,3,52,1506
268,2,3,53,3864
269,2,3,54,7058
270,2,3,55,1794
271,2,3,56,12948
272,2,3,57,9875
273,2,3,58,2143
274,2,3,59,23976
275,2,3,60,6598
276,2,3,61,3109
277,2,3,62,10315
278,2,3,63,7549
279,2,3,64,11345
280,2,3,65,3007
281,2,3,66,5564
282,2,3,67,16188
283,2,3,68,10980
284,2,3,69,25611
285,2,3,70,2315
286,2,3,71,5435
287,2,3,72,6153
288,2,3,73,8313
289,2,3,74,14446
290,2,3,75,41495
291,2,3,76,11356
292,2,3,77,12684
293,2,3,78,17974
294,2,3,79,4480
295,2,3,80,4031
296,2,3,81,5064
297,2,3,82,2867
298,2,3,83,11334
299,2,3,84,7062
300,2,3,85,7652
301,2,3,86,5335
302,2,3,87,3925
303,2,3,88,4026
304,2,3,89,3426
305,2,3,90,1516
306,2,3,91,14027
307,2,3,92,20086
308,2,3,93,11781
309,2,3,94,15392
310,2,3,95,10907
311,2,3,ZA,2134
312,2,3,ZB,2275
313,2,3,ZC,843
314,2,3,ZD,7737
315,2,3,ZM,789
316,2,3,ZN,2336
317,2,3,ZP,3392
318,2,3,ZS,43
319,2,3,ZW,100
320,2,3,ZX,208
321,2,3,ZZ,21947
322,2,4,01,66540
323,2,4,02,78452
324,2,4,03,37736
325,2,4,04,20875
326,2,4,05,15359
327,2,4,06,136982
328,2,4,07,40216
329,2,4,08,37628
330,2,4,09,16125
331,2,4,10,40740
332,2,4,11,50234
333,2,4,12,25619
334,2,4,13,243348
335,2,4,14,65126
336,2,4,15,14877
337,2,4,16,37121
338,2,4,17,66076
339,2,4,18,35825
340,2,4,19,20784
341,2,4,2A,19081
342,2,4,2B,20128
343,2,4,21,54472
344,2,4,22,51552
345,2,4,23,12651
346,2,4,24,44035
347,2,4,25,55921
348,2,4,26,60424
349,2,4,27,76104
350,2,4,28,49067
351,2,4,29,67101
352,2,4,30,106646
353,2,4,31,106161
354,2,4,32,19190
355,2,4,33,127811
356,2,4,34,134343
357,2,4,35,71727
358,2,4,36,27164
359,2,4,37,53586
360,2,4,38,126377
361,2,4,39,31458
362,2,4,40,34381
363,2,4,41,41190
364,2,4,42,88877
365,2,4,43,29600
366,2,4,44,94249
367,2,4,45,73264
368,2,4,46,15376
369,2,4,47,42080
370,2,4,48,8650
371,2,4,49,63252
372,2,4,50,50927
373,2,4,51,66640
374,2,4,52,27624
375,2,4,53,26930
376,2,4,54,82538
377,2,4,55,29038
378,2,4,56,71715
379,2,4,57,141477
380,2,4,58,25565
381,2,4,59,300362
382,2,4,60,109339
383,2,4,61,34757
384,2,4,62,216753
385,2,4,63,57555
386,2,4,64,47844
387,2,4,65,21580
388,2,4,66,64007
389,2,4,67,124264
390,2,4,68,94988
391,2,4,69,133322
392,2,4,70,36807
393,2,4,71,65054
394,2,4,72,62516
395,2,4,73,45993
396,2,4,74,66583
397,2,4,75,61503
398,2,4,76,131416
399,2,4,77,126889
400,2,4,78,89491
401,2,4,79,30077
402,2,4,80,78250
403,2,4,81,44806
404,2,4,82,32228
405,2,4,83,149187
406,2,4,84,84585
407,2,4,85,61859
408,2,4,86,40321
409,2,4,87,35821
410,2,4,88,55339
411,2,4,89,46057
412,2,4,90,17786
413,2,4,91,90760
414,2,4,92,62447
415,2,4,93,72335
416,2,4,94,69399
417,2,4,95,83102
418,2,4,ZA,7486
419,2,4,ZB,6960
420,2,4,ZC,3920
421,2,4,ZD,37549
422,2,4,ZM,996
423,2,4,ZN,10409
424,2,4,ZP,5151
425,2,4,ZS,416
426,2,4,ZW,152
427,2,4,ZX,975
428,2,4,ZZ,23995
429,2,2,01,97722
430,2,2,02,72090
431,2,2,03,49477
432,2,2,04,25668
433,2,2,05,22655
434,2,2,06,216738
435,2,2,07,47687
436,2,2,08,37524
437,2,2,09,17979
438,2,2,10,49196
439,2,2,11,46801
440,2,2,12,46351
441,2,2,13,286175
442,2,2,14,109745
443,2,2,15,28151
444,2,2,16,48291
445,2,2,17,106431
446,2,2,18,45331
447,2,2,19,33706
448,2,2,2A,23623
449,2,2,2B,26869
450,2,2,21,82588
451,2,2,22,90555
452,2,2,23,17280
453,2,2,24,59347
454,2,2,25,83036
455,2,2,26,75291
456,2,2,27,92910
457,2,2,28,69591
458,2,2,29,136994
459,2,2,30,103927
460,2,2,31,158407
461,2,2,32,29133
462,2,2,33,203396
463,2,2,34,152614
464,2,2,35,150685
465,2,2,36,33564
466,2,2,37,94680
467,2,2,38,166290
468,2,2,39,39808
469,2,2,40,59887
470,2,2,41,55944
471,2,2,42,103410
472,2,2,43,35438
473,2,2,44,201671
474,2,2,45,104350
475,2,2,46,24447
476,2,2,47,49768
477,2,2,48,13885
478,2,2,49,136420
479,2,2,50,88234
480,2,2,51,88707
481,2,2,52,30604
482,2,2,53,55945
483,2,2,54,94415
484,2,2,55,29863
485,2,2,56,129838
486,2,2,57,148328
487,2,2,58,29400
488,2,2,59,338714
489,2,2,60,115926
490,2,2,61,51498
491,2,2,62,185632
492,2,2,63,79124
493,2,2,64,92967
494,2,2,65,29512
495,2,2,66,66870
496,2,2,67,196968
497,2,2,68,129349
498,2,2,69,271922
499,2,2,70,36967
500,2,2,71,84499
501,2,2,72,86174
502,2,2,73,69544
503,2,2,74,136946
504,2,2,75,319482
505,2,2,76,174024
506,2,2,77,176116
507,2,2,78,246328
508,2,2,79,55462
509,2,2,80,78680
510,2,2,81,55099
511,2,2,82,36666
512,2,2,83,209233
513,2,2,84,85898
514,2,2,85,133985
515,2,2,86,60188
516,2,2,87,43225
517,2,2,88,57964
518,2,2,89,53719
519,2,2,90,17891
520,2,2,91,152079
521,2,2,92,256570
522,2,2,93,104010
523,2,2,94,155552
524,2,2,95,139863
525,2,2,ZA,33973
526,2,2,ZB,38443
527,2,2,ZC,10174
528,2,2,ZD,65377
529,2,2,ZM,17536
530,2,2,ZN,44302
531,2,2,ZP,40611
532,2,2,ZS,488
533,2,2,ZW,2414
534,2,2,ZX,3504
535,2,2,ZZ,153301
536,2,5,01,30898
537,2,5,02,30360
538,2,5,03,27969
539,2,5,04,15269
540,2,5,05,12175
541,2,5,06,49493
542,2,5,07,28247
543,2,5,08,14260
544,2,5,09,16197
545,2,5,10,12860
546,2,5,11,28456
547,2,5,12,22282
548,2,5,13,139719
549,2,5,14,42396
550,2,5,15,8836
551,2,5,16,23707
552,2,5,17,39313
553,2,5,18,25079
554,2,5,19,16462
555,2,5,2A,7191
556,2,5,2B,8643
557,2,5,21,27496
558,2,5,22,46303
559,2,5,23,10117
560,2,5,24,35489
561,2,5,25,31936
562,2,5,26,34877
563,2,5,27,34572
564,2,5,28,21230
565,2,5,29,64505
566,2,5,30,55731
567,2,5,31,92798
568,2,5,32,14558
569,2,5,33,96165
570,2,5,34,80036
571,2,5,35,59901
572,2,5,36,15645
573,2,5,37,36657
574,2,5,38,82657
575,2,5,39,19338
576,2,5,40,30508
577,2,5,41,19437
578,2,5,42,46104
579,2,5,43,16214
580,2,5,44,90140
581,2,5,45,33923
582,2,5,46,16400
583,2,5,47,22966
584,2,5,48,6208
585,2,5,49,42601
586,2,5,50,30167
587,2,5,51,25292
588,2,5,52,9720
589,2,5,53,15136
590,2,5,54,47042
591,2,5,55,9951
592,2,5,56,47220
593,2,5,57,54455
594,2,5,58,15601
595,2,5,59,173037
596,2,5,60,44057
597,2,5,61,15501
598,2,5,62,97974
599,2,5,63,51691
600,2,5,64,46749
601,2,5,65,21934
602,2,5,66,33739
603,2,5,67,42302
604,2,5,68,30076
605,2,5,69,94876
606,2,5,70,14125
607,2,5,71,34548
608,2,5,72,35143
609,2,5,73,27875
