code_dept,annee,population_totale,pct_hommes,pct_femmes,pct_jeunes,pct_seniors,indice_vieillissement,tour,pct_abstentions,pct_blancs_nuls,DF,EELV,LFI,LO,LR,LREM,MoDem,NPA,PCF,PS,RN,Reconquête,Résistons !,SP,UPR,taux_chomage,taux_pour_mille,croissance_total_entreprises,solde_commercial,pct_immigration,taux_epargne,prix_consommation,pre_depenses
01,2012,612191,0.4946626134654054,0.5053373865345946,0.5061622924871486,0.21304625517199696,0.4209041989693596,1,20.132270935780262,1.9685063389991826,2.2,2.22,9.43,0.55,29.81,0.0,9.96,1.01,0.0,22.3,20.3,0.0,0.0,0.26,0.0,6.85,45.433112837373734,-0.026825633383010472,-0.9475709038077973,8.8,15.6,2.0,54.0
01,2012,612191,0.4946626134654054,0.5053373865345946,0.5061622924871486,0.21304625517199696,0.4209041989693596,2,20.600636277622808,5.974824472498906,0.0,0.0,0.0,0.0,53.81,0.0,0.0,0.0,0.0,40.21,0.0,0.0,0.0,0.0,0.0,6.85,45.433112837373734,-0.026825633383010472,-0.9475709038077973,8.8,15.6,2.0,54.0
01,2017,643350,0.4931872231289345,0.5068127768710655,0.49211626641796846,0.23043755343125827,0.4682574035830343,1,24.38251205966882,2.566249674770246,5.92,0.0,15.47,0.55,20.88,22.04,0.0,0.93,0.0,5.0,24.36,0.0,1.04,0.18,1.08,6.75,36.113905100000004,0.06590487434643277,-0.7721842612475953,9.7,14.1,1.0,54.1
01,2017,643350,0.4931872231289345,0.5068127768710655,0.49211626641796846,0.23043755343125827,0.4682574035830343,2,28.850711083988763,11.644058398411484,0.0,0.0,0.0,0.0,0.0,53.85,0.0,0.0,0.0,0.0,34.51,0.0,0.0,0.0,0.0,6.75,36.113905100000004,0.06590487434643277,-0.7721842612475953,9.7,14.1,1.0,54.1
01,2022,668613,0.49366075741871607,0.5063392425812839,0.48021501227167285,0.24677354463643394,0.5138802920566227,1,28.640682624321723,2.2151229710366214,2.64,4.65,16.98,0.49,5.16,27.07,0.0,0.64,1.74,1.66,25.47,8.08,3.19,0.0,0.0,5.4,40.5392621,0.012177148517722225,-2.7308998465333048,10.32776865187,17.4,5.2,52.0
01,2022,668613,0.49366075741871607,0.5063392425812839,0.48021501227167285,0.24677354463643394,0.5138802920566227,2,33.33556446656647,7.81211018552887,0.0,0.0,0.0,0.0,0.0,50.7,0.0,0.0,0.0,0.0,41.49,0.0,0.0,0.0,0.0,5.4,40.5392621,0.012177148517722225,-2.7308998465333048,10.32776865187,17.4,5.2,52.0
02,2012,540888,0.48670519590007544,0.5132948040999246,0.489676236115425,0.23513370605374864,0.48018100232522093,1,24.057531173715116,1.7140595104572145,1.93,1.14,10.02,0.82,23.78,0.0,6.56,1.27,0.0,26.64,25.88,0.0,0.0,0.24,0.0,13.675,45.433112837373734,-0.026825633383010472,-0.9475709038077973,8.8,15.6,2.0,54.0
02,2012,540888,0.48670519590007544,0.5132948040999246,0.489676236115425,0.23513370605374864,0.48018100232522093,2,24.49615328592804,6.970431282193886,0.0,0.0,0.0,0.0,44.28,0.0,0.0,0.0,0.0,48.75,0.0,0.0,0.0,0.0,0.0,13.675,45.433112837373734,-0.026825633383010472,-0.9475709038077973,8.8,15.6,2.0,54.0
02,2017,534490,0.487696682819136,0.512303317180864,0.4727852719414769,0.2626129581470186,0.5554580869461577,1,27.128352432088615,2.4934955966288754,4.96,0.0,16.56,0.94,15.9,17.49,0.0,1.07,0.0,4.14,34.78,0.0,0.77,0.18,0.73,12.975,41.0596154,0.06590487434643277,-0.7721842612475953,9.7,14.1,1.0,54.1
02,2017,534490,0.487696682819136,0.512303317180864,0.4727852719414769,0.2626129581470186,0.5554580869461577,2,31.835212562182946,11.192930263887233,0.0,0.0,0.0,0.0,0.0,41.82,0.0,0.0,0.0,0.0,46.99,0.0,0.0,0.0,0.0,12.975,41.0596154,0.06590487434643277,-0.7721842612475953,9.7,14.1,1.0,54.1
